file_name;question;ground_truth;answer;context_1;context_2;context_3
Atribut_BGA.txt;Sebutkan 9 atribut yang termasuk dalam Binus Graduate a (BGA) dan apa landasan utama pengembangannya?;9 atribut dalam Binus Graduate Attributes (BGA) adalah Global Standard Technical Competencies, Digital & Technology Fluency, Applied Management Skills, Critical & Creative Thinking, Adaptability, Initiative, Growth Mindset, Collaboration, dan Social Awareness. Landasan utama pengembangannya adalah Binusian Values (S-P-I-R-I-T) untuk memperkuat karakter mahasiswa.;9 atribut dalam Binus Graduate Attributes (BGA) adalah Global Standard Technical Competencies, Digital & Technology Fluency, Applied Management Skills, Critical & Creative Thinking, Adaptability, Initiative, Growth Mindset, Collaboration, dan Social Awareness. Landasan utama pengembangannya adalah Binusian Values (S-P-I-R-I-T) untuk memperkuat karakter mahasiswa.;BINUS Graduate Attribute (BGA) merupakan kumpulan atribut terkait kualitas atau keterampilan yang perlu dimiliki dan dikembangkan oleh para lulusan BINUS University selama menjalani perkuliahan di BINUS University melalui proses Educate, Enrich dan Empower guna mempersiapkan diri menghadapi masa depan. Oleh karena itu, seluruh mahasiswa perlu mengembangkan BINUS Graduate Attributes untuk memperlengkapi dan mempersiapkan agar kelak dapat menjalani secara optimal 3 alternatif pilihan karir yang ada pada BINUS University, yaitu menjadi Employee, Entrepreneur, atau melakukan Further Study.;Terdapat 9 (sembilan) atribut atau keterampilan yang dikembangkan dalam BINUS Graduate Attributes, yaitu Global Standard Technical Competencies, Adaptability, Applied Management Skills, Collaboration, Critical & Creative Thinking, Digital & Technology Fluency, Growth Mindset, Initiative, dan Social Awareness. Pengembangan BGA berlandaskan pada Binusian Values (S-P-I-R-I-T) untuk memperkuat karakter sebagai mahasiswa BINUS University.;1.Global Standard Technical Competencies (GSTC) merupakan kemampuan untuk memenuhi dan menyelesaikan seluruh mata kuliah dalam kurikulum dengan penuh integritas. 2.Digital & Technology Fluency (DTF) merupakan kemampuan untuk mengartikan informasi dan mengkomunikasikan ide secara efektif dan etis di dunia yang terhubung secara digital, serta menggunakan teknologi yang relevan untuk membangun pemahaman dan untuk menciptakan sesuatu. 3.Applied Management Skills (AMS) merupakan kemampuan praktis untuk membangun komunikasi efektif untuk menampilkan performa/kinerja terbaik.
Cara_Akses_Artikel_Binus_Support.txt;Bagaimana langkah-langkah mengakses Microsite BINUS Support setelah berhasil login ke halaman dashboard BINUSMAYA?;"Setelah login, klik ikon Apps Launcher yang berbentuk kotak dengan sembilan titik di pojok kiri atas layar. Kemudian, cari dan pilih aplikasi ""BINUS Support"" dari daftar menu yang muncul untuk diarahkan ke halaman utama Microsite.";Setelah login ke BINUSMAYA, langkahnya adalah klik ikon Apps Launcher (kotak dengan sembilan titik) di pojok kiri atas, cari dan pilih aplikasi 'BINUS Support', yang kemudian akan mengarahkan otomatis ke halaman utama microsite.;Langkah 1: Login ke BINUSMAYA. Buka peramban (browser) dan akses portal BINUSMAYA melalui tautan resmi: https://binusmaya.binus.ac.id. Lakukan proses login menggunakan akun BINUSIAN Anda. Langkah 2: Temukan Apps Launcher. Setelah berhasil masuk ke halaman dasbor, perhatikan bagian pojok kiri atas layar. Klik pada ikon Apps Launcher, yang berbentuk kotak dengan sembilan titik di dalamnya.;"Langkah 3: Pilih Aplikasi BINUS Support. Setelah mengklik ikon Apps Launcher, sebuah menu akan muncul menampilkan daftar aplikasi yang tersedia. Cari dan pilih aplikasi yang bernama ""BINUS Support"" dari daftar tersebut. Langkah 4: Akses Halaman Microsite. Setelah memilih aplikasi BINUS Support, Anda akan secara otomatis diarahkan (redirected) ke halaman utama Microsite BINUS Support.";Universitas Bina Nusantara (BINUS) menyediakan sebuah platform informasi terpusat yang dikenal sebagai Microsite BINUS Support. Platform ini dirancang untuk mempermudah mahasiswa dalam mendapatkan informasi penting seputar layanan kampus. Isinya mencakup berbagai artikel panduan, informasi terkait kegiatan akademik, serta panduan layanan administratif yang dapat diakses secara mandiri kapan saja.
Cara_Mahasiswa_Mengetahui_Gelar_Kelulusan.txt;Di bagian mana mahasiswa dapat menemukan informasi mengenai gelar kelulusan (Degree Title) setelah berhasil masuk ke halaman profil di BINUSMAYA?;"Setelah berada di halaman profil, mahasiswa harus memilih tab ""Personal Information"", dan informasi gelar dapat ditemukan pada kolom yang berjudul ""Degree Title"".";Informasi gelar kelulusan (Degree Title) dapat ditemukan di halaman profil dengan memilih tab 'Personal Information', lalu mencari kolom atau bagian berjudul 'Degree Title'.;"Langkah 3: Navigasi ke Halaman Profil. Setelah berhasil masuk, Anda akan berada di halaman dashboard BINUSMAYA. Arahkan kursor ke Foto Profil Anda yang terletak di sudut halaman. Dari menu yang muncul, klik opsi ""View Profile"". Langkah 4: Menemukan Informasi Gelar. Di dalam halaman profil Anda, pilih tab yang bernama ""Personal Information"".";"Pada halaman ini, cari kolom atau bagian yang berjudul ""Degree Title"". Langkah 5: Konfirmasi Gelar Kelulusan. Informasi yang tercantum di dalam kolom ""Degree Title"" adalah gelar resmi yang akan Anda terima pada saat wisuda atau kelulusan nanti. Mahasiswa Universitas Bina Nusantara (BINUS) dapat secara mandiri memeriksa gelar akademik yang akan diperoleh setelah lulus melalui portal mahasiswa.";Mahasiswa Universitas Bina Nusantara (BINUS) dapat secara mandiri memeriksa gelar akademik yang akan diperoleh setelah lulus melalui portal mahasiswa, BINUSMAYA. Berikut adalah langkah-langkah terstruktur untuk mengakses informasi tersebut. Langkah 1: Mengakses Laman BINUSMAYA. Buka peramban (browser) dan kunjungi alamat situs resmi BINUSMAYA di https://binusmaya.binus.ac.id.
ComServ.txt;Apa saja persyaratan spesifik yang harus dipenuhi mahasiswa jika ingin melakukan Community Service jenis Video Based Learning?;Persyaratan untuk Video Based Learning adalah: durasi video harus 5-10 menit, mahasiswa wajib menggunakan jaket almamater BINUS dalam video, batas maksimal 2 video per mahasiswa, serta konten harus orisinal dan tidak boleh mengandung unsur SARA atau politik.;Untuk Community Service jenis Video Based Learning, mahasiswa harus membuat video berdurasi 5-10 menit, wajib menggunakan jaket almamater BINUS, maksimal membuat 2 video per mahasiswa, dan konten harus orisinal serta tidak mengandung unsur SARA atau politik.;5. Video Based Learning. Pembuatan video edukasi untuk pelajar (SD, SMP, SMA) dan masyarakat umum. Contoh: Video tentang tata surya, Video cara membuat pizza, Video edukasi kesehatan remaja. Syarat: Durasi 5-10 menit. Harus menggunakan jaket almamater BINUS. Maksimal 2 video per mahasiswa. Konten orisinal, tidak mengandung SARA/politik.;6. Massive Open Online Course (MOOC). Program pembelajaran daring terbuka untuk masyarakat luas. Komponen: 1-2 author. Minimal 1 video per modul (5-10 menit), lecture note, soal pilihan ganda. Deskripsi MOOC minimal 200 kata. 7. Virtual Volunteer. Kegiatan sukarela berbasis online untuk mendukung komunitas atau NGO.;Community Services (ComServ) adalah kegiatan sosial non-akademik yang melibatkan BINUSIAN untuk memberikan kontribusi nyata dalam meningkatkan kualitas hidup masyarakat. Program ini dirancang agar memberikan dampak positif yang berkelanjutan. Berikut adalah 10 jenis program Community Services yang diakui oleh BINUS University.
Daftar_Rektor_Binus.txt;Siapa rektor yang menjabat pada periode 2005–2009 dan apa saja jurusan baru yang dibuka pada masa kepemimpinannya?;Rektor yang menjabat pada periode 2005–2009 adalah Prof. Gerardus Polla, M.App.Sc. Pada masa kepemimpinannya, BINUS memperluas cakupan program studi dengan membuka jurusan Psikologi dan Komunikasi.;Rektor yang menjabat pada periode 2005–2009 adalah Prof. Gerardus Polla, M.App.Sc., dan pada masa kepemimpinannya BINUS membuka jurusan Psikologi dan Komunikasi.;"2. Prof. Gerardus Polla, M.App.Sc. (Periode 2005–2009). Pada periode 2005 hingga 2009, kepemimpinan dilanjutkan oleh Prof. Gerardus Polla, M.App.Sc. Fokus utama pada masanya adalah menjadikan BINUS sebagai ""University of Choice"". Upaya ini diwujudkan melalui penguatan organisasi lembaga, peningkatan prestasi di kompetisi internasional, dan keberhasilan meraih akreditasi dari BAN-PT.";Di era ini juga, BINUS memperluas cakupan program studinya dengan membuka jurusan Psikologi dan Komunikasi. Sejarah Kepemimpinan Rektor Universitas Bina Nusantara (BINUS). 3. Prof. Dr. Ir. Harjanto Prabowo, MM. (Periode 2009–2018). Prof. Dr. Ir. Harjanto Prabowo, MM. menjabat sebagai rektor selama dua periode berturut-turut.;Dr. Ir. Th. Widia Soerjaningsih, M.M. (Periode 1996–2004) adalah rektor pertama yang menjabat sejak BINUS University resmi berdiri pada tahun 1996. Selama masa kepemimpinannya, beliau meletakkan fondasi penting bagi pengembangan institusi, termasuk menginisiasi sertifikasi ISO 9001 pada tahun 1997.
Enrichment_Program.txt;Apa tujuan utama dari Enrichment Program dan sebutkan 7 track yang dapat dipilih oleh mahasiswa!;Tujuan utamanya adalah agar mahasiswa dapat menerapkan, membandingkan, dan mempraktikkan ilmu di dunia nyata serta mengembangkan keterampilan kerja. 7 track yang tersedia adalah: Company Internship, Community Impact Internship, Research Fellowship, Entrepreneurship, Study Abroad, Specific Independent Study, dan Fast Track.;Tujuan utamanya adalah agar mahasiswa dapat menerapkan, membandingkan, dan mempraktikkan ilmu di dunia nyata serta mengembangkan keterampilan kerja. 7 track yang tersedia adalah: Company Internship, Community Impact Internship, Research Fellowship, Entrepreneurship, Study Abroad, Specific Independent Study, dan Fast Track.;Program ini bertujuan untuk mempersiapkan mahasiswa agar lebih siap dalam menghadapi tantangan karir setelah lulus dengan pengalaman nyata yang terstruktur dan didukung oleh kerjasama dengan perusahaan, mitra, serta komunitas. Selain itu, program ini membantu mahasiswa mengembangkan soft skills yang diperlukan dalam dunia kerja, seperti kemampuan beradaptasi, berpikir kritis, dan bekerja sama dalam tim.;Pilihan Track dalam Enrichment Program. Program ini menawarkan tujuh Track yang dapat dipilih sesuai minat dan bidang studi mahasiswa, yaitu: Company Internship (Magang Perusahaan): Memberikan kesempatan kepada mahasiswa untuk bekerja secara profesional di perusahaan mitra BINUS. Community Impact Internship (Magang Dampak Komunitas): Dalam Track ini, mahasiswa terlibat dalam program-program pengembangan masyarakat.;Research Fellowship (Program Penelitian): Track ini cocok untuk mahasiswa yang ingin memperdalam kemampuan riset mereka. Entrepreneurship (Kewirausahaan): Track ini memberikan kesempatan bagi mahasiswa yang tertarik untuk memulai bisnis sendiri. Study Abroad (Pertukaran Mahasiswa)... Specific Independent Study (Studi Independen Khusus)... Fast Track (Program Percepatan Studi).
Jadwal_Operasional_Layanan_Binus_Support.txt;Bagaimana jadwal layanan operasional untuk BINUS Online pada hari Jumat?;Pada hari Jumat, layanan BINUS Online (baik Tatap Muka maupun via Zoom) beroperasi dalam dua sesi, yaitu pukul 09.00 – 11.30 WIB dan dilanjutkan kembali pukul 13.00 – 20.00 WIB.;Jadwal layanan operasional BINUS Online pada hari Jumat terbagi menjadi dua sesi, yaitu pukul 09.00 – 11.30 WIB dan dilanjutkan pukul 13.00 – 20.00 WIB.;9. BINUS Online. Layanan Tatap Muka (Walk-In) & via Zoom: Senin – Kamis: 09.00 – 20.00 WIB. Jumat: 09.00 – 11.30 WIB dan 13.00 – 20.00 WIB. Sabtu: 09.00 – 12.00 WIB. 10. BINUS Senayan (JWC & fX). Layanan Tatap Muka (Walk-In): Senin – Jumat: 07.00 – 20.00 WIB. Sabtu: 07.00 – 16.00 WIB.;8. BINUS Bandung. Layanan Tatap Muka (Walk-In): Senin – Jumat: 07.00 – 18.30 WIB. Layanan Video Conference (Vicon): Senin – Jumat: 09.00 – 17.00 WIB. Ringkasan Jam Operasional Layanan Kampus Universitas Bina Nusantara. Berikut adalah detail jam operasional untuk layanan tatap muka (walk-in) dan layanan daring (online).;7. BINUS Malang. Layanan Tatap Muka (Walk-In): Senin – Jumat: 07.00 – 19.00 WIB. Sabtu: 09.00 – 15.00 WIB. Layanan Video Conference (Vicon): Senin – Jumat: 11.00 – 15.00 WIB. 9. BINUS Online. Layanan Tatap Muka (Walk-In) & via Zoom: Senin – Kamis: 09.00 – 20.00 WIB. Jumat: 09.00 – 11.30 WIB dan 13.00 – 20.00 WIB.
Keanggotaan_OK.txt;Bagaimana cara mahasiswa mendaftar menjadi anggota Organisasi Kemahasiswaan (O.K) jika mereka tidak sempat mendaftar saat Expo berlangsung?;Jika pendaftaran saat Expo terlewat, mahasiswa dapat menghubungi O.K yang dipilih melalui akun resmi mereka atau menghubungi bagian Kemahasiswaan di seluruh regional kampus BINUS University.;Jika tidak sempat mendaftar saat Expo, mahasiswa dapat mendaftar dengan cara menghubungi O.K yang dipilih melalui akun resmi O.K tersebut atau menghubungi bagian Kemahasiswaan di kampus regional masing-masing.;Bagaimana cara mendaftar menjadi anggota O.K? Ada dua cara untuk mendaftar sebagai anggota O.K: 1. Saat Expo Organisasi Kemahasiswaan. Mahasiswa dapat langsung mendaftar pada saat Expo yang berlangsung selama rangkaian kegiatan FYP. 2. Setelah Expo Organisasi Kemahasiswaan.;2. Setelah Expo Organisasi Kemahasiswaan. Mahasiswa dapat menghubungi O.K yang dipilih melalui akun resmi O.K atau melalui bagian Kemahasiswaan di seluruh regional kampus BINUS University. Apa saja keuntungan menjadi anggota O.K? Menjadi anggota O.K memberikan berbagai keuntungan bagi mahasiswa.;Keanggotaan Organisasi Kemahasiswaan (O.K). Kapan pendaftaran keanggotaan O.K dibuka? Pendaftaran keanggotaan Organisasi Kemahasiswaan (O.K) di BINUS University dibuka saat rangkaian kegiatan First Year Program (FYP) berlangsung. Mahasiswa dapat memperoleh informasi mengenai O.K yang tersedia pada sesi Expo Organisasi Kemahasiswaan.
Kepengurusan_OK.txt;Berapa batas minimal IPK untuk menjadi pengurus O.K secara umum dan bagaimana aturannya bagi mahasiswa yang sedang mengikuti Enrichment Program?;Syarat umum IPK minimal adalah 2,75. Selain itu, mahasiswa dilarang atau tidak diperbolehkan menjabat sebagai pengurus jika sedang mengikuti Enrichment Program.;Secara umum IPK minimal adalah 2,75. Bagi mahasiswa yang sedang mengikuti Enrichment Program, aturannya adalah tidak boleh menjabat sebagai pengurus O.K.;2. Persyaratan untuk Terlibat dalam Kepengurusan O.K. Syarat untuk menjadi pengurus O.K. di BINUS University antara lain: Memenuhi persyaratan LDKCP. IPK minimal 2,75. Mencapai 15 SKS per semester. Lulus First Year Program (FYP) atau memiliki 85 poin SAT. Tidak melanggar Peraturan Tata Tertib Kehidupan Kampus (PTTKK).;Tidak sedang mengikuti Enrichment Program saat menjabat. Selain itu, beberapa organisasi memiliki persyaratan tambahan. Misalnya, di KMBD (Keluarga Mahasiswa Buddhis Dharma), syarat untuk menjadi Dewan Pengurus Inti antara lain: IPK di atas 2,5. Minimal mengikuti kepengurusan di KMBD selama 1 periode.;3. Struktur Kepengurusan O.K. di BINUS University. Struktur organisasi pengurus di BINUS University terdiri dari: A. Dewan Pengurus Inti (DPI). Ketua Umum: Penentu strategi dan bertanggung jawab atas penyelenggaraan organisasi serta program kerjanya. Sekretaris: Menangani administrasi organisasi.
Ketentuan_Ujian.txt;Apa saja persiapan administrasi yang wajib diselesaikan mahasiswa sebelum mengikuti ujian agar memenuhi syarat kelayakan?;Sebelum mengikuti ujian, mahasiswa wajib memastikan tiga hal: Eligibilitas Keuangan (tidak ada tunggakan pembayaran), Kelengkapan Dokumen (saat pendaftaran awal), dan memenuhi persyaratan Kehadiran (Attendance).;Persiapan administrasi yang wajib diselesaikan meliputi: pengumpulan dokumen admisi (Ijazah, SKHUN, Akta Lahir, KK), memiliki foto profil di BINUSMAYA, melunasi seluruh tagihan uang kuliah, dan mengembalikan buku perpustakaan.;Agar dapat mengikuti ujian di BINUS University, mahasiswa harus memenuhi beberapa persyaratan berikut: 1. Pengumpulan Dokumen. Mahasiswa sudah mengumpulkan semua dokumen yang dibutuhkan sebagai calon mahasiswa dan menyerahkannya ke Ruang Admisi, termasuk: Ijazah, SKHUN (Surat Keterangan Hasil Ujian Nasional), Akta Lahir, Kartu Keluarga.;2. Foto di BINUSMAYA. Mahasiswa harus memastikan bahwa mereka sudah memiliki foto profil di Dashboard BINUSMAYA. Jika belum ada, mahasiswa dapat datang ke Binusian Card Center untuk pengambilan foto. 3. Pelunasan Tagihan Uang Kuliah. Mahasiswa sudah melunasi seluruh tagihan terkait uang kuliah untuk semester berjalan.;4. Pengembalian Buku Perpustakaan. Mahasiswa sudah menyelesaikan pengembalian semua buku dan melunasi tunggakan perpustakaan, jika ada. 5. Kehadiran Kuliah. Untuk mengikuti Ujian Akhir Semester (UAS) dan Ujian Akhir Praktikum, mahasiswa wajib memenuhi syarat kehadiran minimal yang telah ditetapkan untuk setiap mata kuliah.
